nces_id,state,name,phone,website,street,city,zip_state,zip,lea_type,status
0100203,AL,LEAD Academy,(334)451-3127,http://www.leadacademyal.org,2897 Eastern Blvd,Montgomery,AL,36116,Independent charter district,Open
0100204,AL,i3 Academy,(205)403-5777,http://www.i3academy.org,1 55th Place South,Birmingham,AL,35212,Independent charter district,Open
0100207,AL,LIFE Academy,(646)462-8633,http://www.LIFEAcademyAL.com,2048 West Fairview Avenue,Montgomery,AL,36108,Independent charter district,Open
0100208,AL,Breakthrough Charter School,(559)696-4461,http://www.breakthroughcharterschool.org,1101 Washington Street,Marion,AL,35756,Independent charter district,Open
0100210,AL,Auburn City,(334)887-2100,http://www.auburnschools.org,PO Box 3270,Auburn,AL,36831,Regular public school district that is not a component of a supervisory union,Open
0100211,AL,Magic City Acceptance Academy,(205)961-3204,http://www.magiccityacceptanceacademy.org/,75 Bagby Drive,Homewood,AL,35209,Independent charter district,Open
0100212,AL,Alabama School of Cyber Technology and Engineering,(256)489-3700,http://www.ascte.org,229 Wynn Drive NW,Huntsville,AL,35805,State operated agency,Open
0100213,AL,Alabama Aerospace and Aviation,(205)538-0702,http://alaahs.org,1414 2nd Avenue North,Bessemer,AL,35020,Independent charter district,Open
0100240,AL,Autauga County,(334)365-5706,http://acboe.net,153 W 4th St,Prattville,AL,36067,Regular public school district that is not a component of a supervisory union,Open
0100270,AL,Baldwin County,(251)937-0308,http://www.bcbe.org,2600 North Hand Ave,Bay Minette,AL,36507,Regular public school district that is not a component of a supervisory union,Open
0100300,AL,Barbour County,(334)367-8280,http://www.barbourcountyschools.org,168 Western Bypass,Clayton,AL,36016,Regular public school district that is not a component of a supervisory union,Open
0100330,AL,Bessemer City,(205)432-3000,http://www.bessk12.org,1621 5th Ave N,Bessemer,AL,35020,Regular public school district that is not a component of a supervisory union,Open
0100360,AL,Bibb County,(205)926-9881,http://www.bibbed.org,721 Walnut Street,Centreville,AL,35042,Regular public school district that is not a component of a supervisory union,Open
0100390,AL,Birmingham City,(205)231-4220,http://www.bhamcityschools.org,PO Box 10007,Birmingham,AL,35202,Regular public school district that is not a component of a supervisory union,Open
0100420,AL,Blount County,(205)775-1950,http://www.blountboe.net,415 5th Avenue East,Oneonta,AL,35121,Regular public school district that is not a component of a supervisory union,Open
0100450,AL,Brewton City,(251)867-8400,http://www.brewtoncityschools.org/,811 Belleville Ave,Brewton,AL,36426,Regular public school district that is not a component of a supervisory union,Open
0100480,AL,Bullock County,(334)513-1416,http://108 Hardaway Avenue West,108 Hardaway Avenue,Union Springs,AL,36089,Regular public school district that is not a component of a supervisory union,Open
0100510,AL,Butler County,(334)382-2665,http://www.butlerco.k12.al.us,211 School Highlands Rd,Greenville,AL,36037,Regular public school district that is not a component of a supervisory union,Open
0100540,AL,Calhoun County,(256)741-7400,http://www.calhouncountyschools.com,4400 McClellan Blvd,Anniston,AL,36206,Regular public school district that is not a component of a supervisory union,Open
0100600,AL,Chambers County,(334)864-9343,http://www.chambersk12.org,1298  AVC Drive,Lafayette,AL,36862,Regular public school district that is not a component of a supervisory union,Open
0100630,AL,Cherokee County,(256)927-3362,http://www.cherokeek12.org,130 E Main St,Centre,AL,35960,Regular public school district that is not a component of a supervisory union,Open
0100660,AL,Chilton County,(205)280-3000,http://www.chilton.k12.al.us,1705 Lay Dam Rd,Clanton,AL,35045,Regular public school district that is not a component of a supervisory union,Open
0100690,AL,Choctaw County,(205)459-3031,http://www.choctawal.org/,107 Tom Orr Dr,Butler,AL,36904,Regular public school district that is not a component of a supervisory union,Open
0100720,AL,Clarke County,(251)250-2155,http://www.clarkecountyschools.org,155 W Cobb St,Grove Hill,AL,36451,Regular public school district that is not a component of a supervisory union,Open
0100750,AL,Clay County,(256)396-1475,http://www.claycoboe.org,PO Box 278,Ashland,AL,36251,Regular public school district that is not a component of a supervisory union,Open
0100780,AL,Cleburne County,(256)463-5624,http://www.cleburneschools.net,PO Box 8,Heflin,AL,36264,Regular public school district that is not a component of a supervisory union,Open
0100810,AL,Coffee County,(334)897-5016,http://www.coffeecountyschools.org,400 Reddoch Hill Rd,Elba,AL,36323,Regular public school district that is not a component of a supervisory union,Open
0100840,AL,Colbert County,(256)386-8565,http://www.colbert.k12.al.us,PO Box 538,Tuscumbia,AL,35674,Regular public school district that is not a component of a supervisory union,Open
0100870,AL,Conecuh County,(251)578-1752,http://www.conecuh.k12.al.us,1455 Ted Bates Road,Evergreen,AL,36401,Regular public school district that is not a component of a supervisory union,Open
0100900,AL,Coosa County,(256)377-4913,http://coosaschools.k12.al.us,PO Box 37,Rockford,AL,35136,Regular public school district that is not a component of a supervisory union,Open
0100930,AL,Covington County,(334)222-7571,http://www.cov.k12.al.us,807 C C Baker Ave,Andalusia,AL,36421,Regular public school district that is not a component of a supervisory union,Open
0100960,AL,Crenshaw County,(334)335-6519,http://www.crenshawcounty.schoolinsites.com,183 Votec Dr,Luverne,AL,36049,Regular public school district that is not a component of a supervisory union,Open
0100990,AL,Cullman City,(256)775-5803,http://www.cullmancats.net,301 1st St NE,Cullman,AL,35055,Regular public school district that is not a component of a supervisory union,Open
0101020,AL,Cullman County,(256)734-2933,http://www.ccboe.org,402 Arnold St NE,Cullman,AL,35055,Regular public school district that is not a component of a supervisory union,Open
0101050,AL,Dale County,(334)774-2355,http://www.dalecountyboe.org,202 S Hwy 123 Suite E,Ozark,AL,36360,Regular public school district that is not a component of a supervisory union,Open
0101080,AL,Daleville City,(334)598-2456,http://www.daleville.k12.al.us,626 N Daleville Ave,Daleville,AL,36322,Regular public school district that is not a component of a supervisory union,Open
0101110,AL,Dallas County,(334)875-3440,http://www.dallask12.org,429 Lauderdale St,Selma,AL,36701,Regular public school district that is not a component of a supervisory union,Open
0101140,AL,DeKalb County,(256)638-6921,http://www.dekalbk12.org,PO Box 1668,Rainsville,AL,35986,Regular public school district that is not a component of a supervisory union,Open
0101170,AL,Decatur City,(256)552-3000,http://www.dcs.edu,212 4th Ave SE,Decatur,AL,35601,Regular public school district that is not a component of a supervisory union,Open
0101200,AL,Demopolis City,(334)289-1670,http://www.dcsedu.com,609 South Cedar Avenue,Demopolis,AL,36732,Regular public school district that is not a component of a supervisory union,Open
0101230,AL,Dothan City,(334)793-1397,http://www.dothan.k12.al.us,1665 Honeysuckle Road,DOTHAN,AL,36301,Regular public school district that is not a component of a supervisory union,Open
0101260,AL,Elba City,(334)897-2801,,131 Tiger Dr,Elba,AL,36323,Regular public school district that is not a component of a supervisory union,Open
0101290,AL,Elmore County,(334)567-1200,http://www.elmoreco.com,100 H H Robison Drive,Wetumpka,AL,36092,Regular public school district that is not a component of a supervisory union,Open
0101320,AL,Enterprise City,(334)347-9531,http://www.enterpriseschools.net,220 Hutchinson St,Enterprise,AL,36330,Regular public school district that is not a component of a supervisory union,Open
0101350,AL,Escambia County,(251)867-6251,http://escambiak12.net,PO Box 307,Brewton,AL,36427,Regular public school district that is not a component of a supervisory union,Open
0101380,AL,Etowah County,(256)549-7560,http://ecboe.org,401 Broad Street,Gadsden,AL,35901,Regular public school district that is not a component of a supervisory union,Open
0101410,AL,Eufaula City,(334)687-1100,http://www.eufaulacityschools.org,333 State Docks Rd,Eufaula,AL,36027,Regular public school district that is not a component of a supervisory union,Open
0101440,AL,Fairfield City,(205)783-6850,http://www.fairfield.cyberschool.com,6405 Avenue D,Fairfield,AL,35064,Regular public school district that is not a component of a supervisory union,Open
0101470,AL,Fayette County,(205)932-4611,http://www.fayette.k12.al.us,PO Box 686,Fayette,AL,35555,Regular public school district that is not a component of a supervisory union,Open
0101530,AL,Florence City,(256)768-3000,http://www.florencek12.org,541 Riverview Drive,Florence,AL,35630,Regular public school district that is not a component of a supervisory union,Open
0101560,AL,Fort Payne City,(256)845-0915,http://www.fpcsk12.com,205 45th St NE,Fort Payne,AL,35967,Regular public school district that is not a component of a supervisory union,Open
0101590,AL,Franklin County,(256)332-1360,http://www.franklin.k12.al.us,PO Box 610,Russellville,AL,35653,Regular public school district that is not a component of a supervisory union,Open
0101620,AL,Gadsden City,(256)543-3512,http://www.gcs.k12.al.us,PO Box 184,Gadsden,AL,35902,Regular public school district that is not a component of a supervisory union,Open
0101640,AL,Geneva City,(334)684-1090,http://www.genevacityschools.com,511 Panther Dr,Geneva,AL,36340,Regular public school district that is not a component of a supervisory union,Open
0101660,AL,Geneva County,(334)684-5690,http://www.genevacountyschools.com,PO Box 250,Geneva,AL,36340,Regular public school district that is not a component of a supervisory union,Open
0101680,AL,Greene County,(205)372-4900,http://www.greene.k12.al.us,220 Main St,Eutaw,AL,35462,Regular public school district that is not a component of a supervisory union,Open
0101690,AL,Guntersville City,(256)582-3159,http://www.guntersvilleboe.com,4200 Highway 79 South,Guntersville,AL,35976,Regular public school district that is not a component of a supervisory union,Open
0101710,AL,Hale County,(334)624-8836,http://www.halek12.org,1115 Powers St,Greensboro,AL,36744,Regular public school district that is not a component of a supervisory union,Open
0101720,AL,Haleyville City,(205)486-9231,http://www.haley-k12.us,2011 20th St,Haleyville,AL,35565,Regular public school district that is not a component of a supervisory union,Open
0101730,AL,Hartselle City,(256)773-5419,http://www.hartselletigers.org,305 College St NE,Hartselle,AL,35640,Regular public school district that is not a component of a supervisory union,Open
0101740,AL,Henry County,(334)585-2206,http://www.henrycountyboe.org,300 N Trawick St,Abbeville,AL,36310,Regular public school district that is not a component of a supervisory union,Open
0101760,AL,Homewood City,(205)870-4203,http://www.homewood.k12.al.us,450 Dale Avenue,Homewood,AL,35209,Regular public school district that is not a component of a supervisory union,Open
0101770,AL,Houston County,(334)792-8331,http://www.hcboe.us,404 W Washington St,Dothan,AL,36301,Regular public school district that is not a component of a supervisory union,Open
0101800,AL,Huntsville City,(256)428-6812,http://www.huntsvillecityschools.org,714 Bob Wallace Avenue,Huntsville,AL,35801,Regular public school district that is not a component of a supervisory union,Open
0101830,AL,Jackson County,(256)259-9500,http://www.jackson.k12.al.us,PO Box 549,Hollywood,AL,35752,Regular public school district that is not a component of a supervisory union,Open
0101860,AL,Jacksonville City,(256)782-5682,http://www.jcsboe.org,320 Branscomb Drive SW,Jacksonville,AL,36265,Regular public school district that is not a component of a supervisory union,Open
0101890,AL,Jasper City,(205)384-6880,http://www.jasper.k12.al.us,PO Box 500,Jasper,AL,35502,Regular public school district that is not a component of a supervisory union,Open
0101920,AL,Jefferson County,(205)379-2000,http://www.jefcoed.com,2100 18th Street S,Birmingham,AL,35209,Regular public school district that is not a component of a supervisory union,Open
0101950,AL,Lamar County,(205)695-7615,http://www.lamarcountyk12.com,PO Box 1379,Vernon,AL,35592,Regular public school district that is not a component of a supervisory union,Open
0101980,AL,Lanett City,(334)644-5900,http://www.lanettcityschools.org,105 North Lanier Ave,Lanett,AL,36863,Regular public school district that is not a component of a supervisory union,Open
0102010,AL,Lauderdale County,(256)760-1300,http://www.lcschools.org,PO Box 278,Florence,AL,35631,Regular public school district that is not a component of a supervisory union,Open
0102040,AL,Lawrence County,(256)905-2400,http://www.lawrenceal.org,14131 Market St,Moulton,AL,35650,Regular public school district that is not a component of a supervisory union,Open
0102070,AL,Lee County,(334)705-6000,http://www.lee.k12.al.us,2410 Society Hill Road,Opelika,AL,36804,Regular public school district that is not a component of a supervisory union,Open
0102100,AL,Limestone County,(256)232-5353,http://www.lcsk12.org,300 S Jefferson St,Athens,AL,35611,Regular public school district that is not a component of a supervisory union,Open
0102130,AL,Linden City,(334)295-8802,http://lindencity.org,PO Box 480609,Linden,AL,36748,Regular public school district that is not a component of a supervisory union,Open
0102160,AL,Lowndes County,(334)548-2131,http://www.lowndesboe.org,PO Box 755,Hayneville,AL,36040,Regular public school district that is not a component of a supervisory union,Open
0102190,AL,Macon County,(334)727-1600,http://www.maconk12.org,303 Union Springs Road,Tuskegee,AL,36083,Regular public school district that is not a component of a supervisory union,Open
0102220,AL,Madison County,(256)852-2557,http://www.mcssk12.org,1275F Jordan Rd Bldg B,Huntsville,AL,35811,Regular public school district that is not a component of a supervisory union,Open
0102250,AL,Marengo County,(334)295-4123,http://marengo.k12.al.us,101 North Shiloh,Linden,AL,36748,Regular public school district that is not a component of a supervisory union,Open
0102310,AL,Marion County,(205)921-3191,http://www.mcbe.net,188 Winchester Dr,Hamilton,AL,35570,Regular public school district that is not a component of a supervisory union,Open
0102350,AL,Midfield City,(205)923-2262,http://www.midfield.k12.al.us,417 Parkwood St,Midfield,AL,35228,Regular public school district that is not a component of a supervisory union,Open
0102370,AL,Mobile County,(251)221-4394,http://www.mcpss.com,PO Box 180069,Mobile,AL,36618,Regular public school district that is not a component of a supervisory union,Open
0102400,AL,Monroe County,(251)743-2153,http://www.monroe.k12.al.us,109 Rosenwald Drive,Monroeville,AL,36460,Regular public school district that is not a component of a supervisory union,Open
0102430,AL,Montgomery County,(334)223-6710,http://www.mps.k12.al.us,632 S Union Street Building C,Montgomery,AL,36104,Regular public school district that is not a component of a supervisory union,Open
0102480,AL,Morgan County,(256)309-2105,http://www.morgank12.org,235 Highway 67 South,Decatur,AL,35603,Regular public school district that is not a component of a supervisory union,Open
0102490,AL,Mountain Brook City,(205)871-4608,http://www.mtnbrook.k12.al.us,32 Vine St,Mountain Brk,AL,35213,Regular public school district that is not a component of a supervisory union,Open
0102520,AL,Muscle Shoals City,(256)389-2600,http://www.mscs.k12.al.us,3200 S Wilson Dam Rd,Muscle Shoals,AL,35661,Regular public school district that is not a component of a supervisory union,Open
0102550,AL,Oneonta City,(205)543-1515,http://www.oneontacityschools.com,28370 State Highway 75,Oneonta,AL,35121,Regular public school district that is not a component of a supervisory union,Open
0102580,AL,Opelika City,(334)745-9700,http://www.opelikaschools.org,300 Simmons Street,Opelika,AL,36801,Regular public school district that is not a component of a supervisory union,Open
0102610,AL,Opp City,(334)493-3173,http://www.oppcityschools.com,113 East Hart,Opp,AL,36467,Regular public school district that is not a component of a supervisory union,Open
0102635,AL,Oxford City,(256)241-3140,http://oxfordcityschools.com,402 Main Street,Oxford,AL,36203,Regular public school district that is not a component of a supervisory union,Open
0102640,AL,Ozark City,(334)774-5197,http://www.ozarkcityschools.net,860 N US HWY 231,Ozark,AL,36360,Regular public school district that is not a component of a supervisory union,Open
0102650,AL,Pell City,(205)884-4440,http://www.pellcityschools.net,3105 15th Avenue N,Pell City,AL,35125,Regular public school district that is not a component of a supervisory union,Open
0102670,AL,Perry County,(334)683-6528,http://perrycountyal.org,PO Box 900,Marion,AL,36756,Regular public school district that is not a component of a supervisory union,Open
0102700,AL,Phenix City,(334)298-0534,http://www.pcboe.net,1212 Ninth Ave,Phenix City,AL,36867,Regular public school district that is not a component of a supervisory union,Open
0102730,AL,Pickens County,(205)367-2080,http://www.pickenscountyschools.net,377 LaDow Center Circle,Carrollton,AL,35447,Regular public school district that is not a component of a supervisory union,Open
0102760,AL,Piedmont City,(256)447-8831,http://www.piedmont.k12.al.us/websites/PiedmontCitySchools/PiedmontCityDistrict/,502 Hood St W,Piedmont,AL,36272,Regular public school district that is not a component of a supervisory union,Open
0102790,AL,Pike County,(334)566-1850,http://www.pikecountyschools.com,101 W Love St,Troy,AL,36081,Regular public school district that is not a component of a supervisory union,Open
0102820,AL,Randolph County,(256)357-4611,http://www.randolphboe.org,182 Circle Drive,Wedowee,AL,36278,Regular public school district that is not a component of a supervisory union,Open
0102850,AL,Roanoke City,(800)674-7890,http://www.roanokecityschools.org,557 Main St,Roanoke,AL,36274,Regular public school district that is not a component of a supervisory union,Open
0102880,AL,Russell County,(334)855-2977,http://myrcsd.org,PO Box 400,Phenix City,AL,36867,Regular public school district that is not a component of a supervisory union,Open
0102910,AL,Russellville City,(256)331-2000,http://www.rcs.k12.al.us,1945 Waterloo Rd,Russellville,AL,35653,Regular public school district that is not a component of a supervisory union,Open
0102940,AL,Scottsboro City,(256)218-2100,http://www.scottsboroschools.net,305 S Scott Street,Scottsboro,AL,35768,Regular public school district that is not a component of a supervisory union,Open
0102970,AL,Selma City,(334)874-1600,http://selmacityschools.org,2194 Broad Street,Selma,AL,36701,Regular public school district that is not a component of a supervisory union,Open
0103000,AL,Sheffield City,(256)383-0400,http://www.scs.k12.al.us,300 W 6th St,Sheffield,AL,35660,Regular public school district that is not a component of a supervisory union,Open
0103030,AL,Shelby County,(205)682-7000,http://www.shelbyed.k12.al.us,PO Box 1910,Columbiana,AL,35051,Regular public school district that is not a component of a supervisory union,Open
0103062,AL,St Clair County,(205)594-7131,http://www.sccboe.org,410 Roy Dr,Ashville,AL,35953,Regular public school district that is not a component of a supervisory union,Open
0103090,AL,Sumter County,(205)652-9605,http://sumter.k12.al.us,PO Box 10,Livingston,AL,35470,Regular public school district that is not a component of a supervisory union,Open
0103120,AL,Sylacauga City,(256)245-5256,http://www.scsboe.org,43 N Broadway Avenue,Sylacauga,AL,35150,Regular public school district that is not a component of a supervisory union,Open
0103150,AL,Talladega City,(256)315-5600,http://www.talladega-cs.net,PO Box 946,Talladega,AL,35161,Regular public school district that is not a component of a supervisory union,Open
0103180,AL,Talladega County,(256)315-5126,,106 W South St,Talladega,AL,35160,Regular public school district that is not a component of a supervisory union,Open
0103210,AL,Tallapoosa County,(256)825-0746,http://www.tallapoosak12.org,679 East Columbus Street,Dadeville,AL,36853,Regular public school district that is not a component of a supervisory union,Open
0103240,AL,Tallassee City,(334)283-6864,http://www.tcschools.com,308 King St,Tallassee,AL,36078,Regular public school district that is not a component of a supervisory union,Open
0103270,AL,Tarrant City,(205)849-3700,http://www.tarrant.k12.al.us,1318 Alabama St,Tarrant,AL,35217,Regular public school district that is not a component of a supervisory union,Open
0103300,AL,Thomasville City,(334)636-9955,http://www.thomasvilleschools.org,750 Gates Drive,Thomasville,AL,36784,Regular public school district that is not a component of a supervisory union,Open
0103330,AL,Troy City,(334)566-3741,http://www.troyschools.net,PO Box 529,Troy,AL,36081,Regular public school district that is not a component of a supervisory union,Open
0103360,AL,Tuscaloosa City,(205)759-3560,http://www.tuscaloosacityschools.com,PO Box 038991,Tuscaloosa,AL,35403,Regular public school district that is not a component of a supervisory union,Open
0103390,AL,Tuscaloosa County,(205)758-0411,http://www.tcss.net,PO Drawer 2568,Tuscaloosa,AL,35403,Regular public school district that is not a component of a supervisory union,Open
0103420,AL,Tuscumbia City,(256)389-2900,http://www.tuscumbia.k12.al.us,303 N Commons St E,Tuscumbia,AL,35674,Regular public school district that is not a component of a supervisory union,Open
0103430,AL,Vestavia Hills City,(205)402-5116,http://www.vestavia.k12.al.us,PO Box 660826,Vestavia Hills,AL,35266,Regular public school district that is not a component of a supervisory union,Open
0103450,AL,Walker County,(205)387-0555,http://www.walkercountyschools.com,PO Box 311,Jasper,AL,35502,Regular public school district that is not a component of a supervisory union,Open
0103480,AL,Washington County,(251)847-2401,http://wcbek12.org,229 Granade St,Chatom,AL,36518,Regular public school district that is not a component of a supervisory union,Open
0103510,AL,Wilcox County,(334)682-4716,http://www.wilcoxboe.org,75 Camden Bypass,Camden,AL,36726,Regular public school district that is not a component of a supervisory union,Open
0103540,AL,Winfield City,(205)487-4255,http://www.winfield.k12.al.us,PO Box 70,Winfield,AL,35594,Regular public school district that is not a component of a supervisory union,Open
0103580,AL,Winston County,(205)489-5018,http://www.winstonk12.org,PO Box 9,Double Springs,AL,35553,Regular public school district that is not a component of a supervisory union,Open
0103581,AL,Orange Beach City,(251)424-1730,http://orangebeachboe.org,4544 Orange Beach Blvd,Orange Beach,AL,36561,Regular public school district that is not a component of a supervisory union,Open
0103582,AL,Empower Community School,(205)413-8600,http://www.empoweral.org,751A Academy Drive,Bessemer,AL,35020,Independent charter district,Open
0200001,AK,Lower Kuskokwim School District,(907)543-4912,http://www.lksd.org,PO Box 305,Bethel,AK,99559,Regular public school district that is not a component of a supervisory union,Open
0200003,AK,Lower Yukon School District,(907)591-2411,http://www.lysd.org/,PO Box 32089,Mountain Village,AK,99632,Regular public school district that is not a component of a supervisory union,Open
0200004,AK,Yupiit School District,(907)825-3600,http://www.yupiit.org,PO Box 51190,Akiachak,AK,99551,Regular public school district that is not a component of a supervisory union,Open
0200005,AK,Kashunamiut School District,(907)858-7713,http://www.chevakschool.org,PO Box 345,Chevak,AK,99563,Regular public school district that is not a component of a supervisory union,Open
0200006,AK,Mount Edgecumbe,(907)966-3201,http://www.mehs.us,1330 Seward Ave,Sitka,AK,99835,State operated agency,Open
0200007,AK,Aleutians East Borough School District,(907)383-5222,http://www.aebsd.org,PO Box 429,Sand Point,AK,99661,Regular public school district that is not a component of a supervisory union,Open
0200010,AK,Aleutian Region School District,(907)277-2648,http://www.aleutregion.org,PO Box 92230,Anchorage,AK,99509,Regular public school district that is not a component of a supervisory union,Open
0200020,AK,Bering Strait School District,(907)624-4261,http://www.bssd.org,PO Box 225,Unalakleet,AK,99684,Regular public school district that is not a component of a supervisory union,Open
0200030,AK,Bristol Bay Borough School District,(907)246-4225,http://www.bbbsd.net,PO BOX 169,Naknek,AK,99633,Regular public school district that is not a component of a supervisory union,Open
0200050,AK,Alaska Gateway School District,(907)883-5151,http://www.agsd.us,PO Box 226,Tok,AK,99780,Regular public school district that is not a component of a supervisory union,Open
0200060,AK,Cordova City School District,(907)424-3265,http://www.cordovasd.org,PO Box 1330,Cordova,AK,99574,Regular public school district that is not a component of a supervisory union,Open
0200070,AK,Copper River School District,(907)822-3234,http://www.crsd.us,PO Box 108,Glennallen,AK,99588,Regular public school district that is not a component of a supervisory union,Open
0200090,AK,Craig City School District,(907)826-3274,http://www.ccsd.k12.ak.us,PO Box 800,Craig,AK,99921,Regular public school district that is not a component of a supervisory union,Open
0200100,AK,Delta/Greely School District,(907)895-4657,http://www.dgsd.us,PO Box 527,Delta Junction,AK,99737,Regular public school district that is not a component of a supervisory union,Open
0200120,AK,Dillingham City School District,(907)842-5223,http://www.dlgsd.org,PO Box 170,Dillingham,AK,99576,Regular public school district that is not a component of a supervisory union,Open
0200130,AK,Galena City School District,(907)656-1883,http://www.galenaalaska.org,PO Box 299,Galena,AK,99741,Regular public school district that is not a component of a supervisory union,Open
0200150,AK,Ketchikan Gateway Borough School District,(907)247-2109,http://www.kgbsd.org,333 Schoenbar Rd,Ketchikan,AK,99901,Regular public school district that is not a component of a supervisory union,Open
0200180,AK,Anchorage School District,(907)742-4000,http://www.asdk12.org,5530 E Northern Lights Blvd,Anchorage,AK,99504,Regular public school district that is not a component of a supervisory union,Open
0200210,AK,Juneau Borough School District,(907)523-1702,http://www.juneauschools.org,10014 Crazy Horse Dr,Juneau,AK,99801,Regular public school district that is not a component of a supervisory union,Open
0200240,AK,Sitka School District,(907)747-8622,http://www.sitkaschools.org,300 Kostrometinoff St,Sitka,AK,99835,Regular public school district that is not a component of a supervisory union,Open
0200270,AK,Haines Borough School District,(907)766-6725,http://www.hbsd.net,PO Box 1289,Haines,AK,99827,Regular public school district that is not a component of a supervisory union,Open
0200300,AK,Hoonah City School District,(907)945-3613,http://www.hoonahschools.org,PO Box 157,Hoonah,AK,99829,Regular public school district that is not a component of a supervisory union,Open
0200330,AK,Hydaburg City School District,(907)285-3491,http://www.hydaburg.k12.ak.us,PO Box 109,Hydaburg,AK,99922,Regular public school district that is not a component of a supervisory union,Open
0200360,AK,Kake City School District,(907)785-3741,http://www.kakeschools.com,PO Box 450,Kake,AK,99830,Regular public school district that is not a component of a supervisory union,Open
0200390,AK,Kenai Peninsula Borough School District,(907)714-8888,http://www.kpbsd.k12.ak.us,148 N Binkley St,Soldotna,AK,99669,Regular public school district that is not a component of a supervisory union,Open
